gp_election_id,br_position_database_id,election_date,reason,contest_office,br_position_name
4a177e50-c587-470e-041a-397c1600e207,338217,2025-11-04,office_mismatch,Washington County: Grandview Township Trustee,City Legislature
dfe0d311-e1c9-db67-ea6e-0ae0c04706cf,338272,2025-11-04,office_mismatch,Hamilton County: Colerain Township Trustee,City Legislature
9374b6c9-6abe-c364-aeb4-a41e976fa7af,338897,2025-11-04,office_mismatch,Monroe Local School Board,City Legislature
516f8783-a52d-a453-e963-113d3e25bfc9,338976,2025-11-04,office_mismatch,Ridgemont School Board,City Legislature
7e6f01fa-218d-60e1-dbed-57df2eb7148c,339260,2025-11-04,office_mismatch,Mahoning County: Poland Township Trustee,City Legislature
81581222-2e74-1ee8-24b9-2ee6ed16c343,339437,2025-11-04,office_mismatch,Valley Local School Board,Township Trustee//Township Council
4100ff12-30b2-7555-4bb0-b6859cc67ffe,339681,2025-11-04,office_mismatch,Union County: Claibourne Township Trustee,City Legislature
697988a4-efa1-69c3-abfc-81912a92c29c,339779,2025-11-04,office_mismatch,Trumbull County: Johnson Township Trustee,City Legislature
69b617a9-ef1f-14dd-6e5b-c787f881db7b,339779,2025-11-04,office_mismatch,Brown County: Washington Township Trustee,City Legislature
c8914186-a99a-ef43-aede-7c39443f526a,339779,2025-11-04,office_mismatch,Hardin County: Washington Township Trustee,City Legislature
993ff24b-9b68-8a73-c16b-7aa1092d8a08,340436,2025-11-04,office_mismatch,Electric City Mayor,City Legislature
8b7dab75-1b14-3c71-0c43-d9bbe8e4913e,340802,2025-11-04,office_mismatch,Lincoln County Cemetery District 6 Board - Position 1,City Legislature
95896037-04a2-d7f2-2e05-06fc3372e05e,340953,2025-11-04,office_mismatch,Snohomish City Council - Position 6,County Legislature//Executive Board
bf84c664-f5cc-7a02-e58d-fa7f62d2cea4,340953,2025-11-04,office_mismatch,Snohomish City Council - Position 5,County Legislature//Executive Board
6f2e8ff7-046b-4687-10a8-6025767af910,341935,2025-11-04,office_mismatch,Lawrence City Council - At Large,City Executive//Mayor
e5b09f0d-d5a5-8e30-d5b1-b539e06d872a,343069,2025-11-04,office_mismatch,Nemaha Usd 115 School Board - Position 3 (Unexpired Term),City Legislature
50329a06-de0a-bd44-6a35-aad9fd333440,352759,2025-04-01,office_mismatch,Waupaca County: Dupont Town Clerk,Township Trustee//Township Council
69d13e3d-8af2-5895-fbfc-947483ffde55,359913,2025-04-01,office_mismatch,Lake Zurich Village President,City Legislature
21cee143-dd33-7704-3319-454392eac7bb,364528,2025-04-01,office_mismatch,Polk County: Laketown Town Treasurer,City Clerk//Ward Officer
fba4a53e-9370-3413-a296-282dc463c7b0,364730,2025-04-01,office_mismatch,Oak Park Park District Commissioner,City Legislature Chair//President of Council
b6b0ea67-aeac-c112-d488-1958791a9aaa,366494,2025-04-01,office_mismatch,Madison County: Collinsville Township Board,City Legislature
1fe84ca0-cf0b-39e8-8c52-1464b95e00ba,378263,2025-05-20,office_mismatch,Warrenton-Hammond 30 School Board - Seat 7,Local Higher Education Board//Community College Board
2a72eb34-d305-2a01-51ac-c6c6cd00984d,379295,2025-05-20,office_mismatch,Ridgewood Water District Board - Position 2,Sanitary District Board//Sewage District Board
4abc2b2b-4784-a460-c632-58837a4fc257,396313,2025-11-04,office_mismatch,Richfield Mayor,City Legislature
6b4e220b-5ede-2ad4-3b61-662aa55dc6d3,400024,2025-11-04,office_mismatch,De Soto City Council,City Executive//Mayor
4bb3c7ed-778e-dffa-a348-145ecea7bd23,400590,2025-11-04,office_mismatch,Delta City Council,City Executive//Mayor
b86f1b04-fe91-e920-69df-4c035ddff59c,417758,2025-11-04,office_mismatch,School Board,City Legislature
07bc5fac-f1c8-9378-af56-b53cb7f83b6f,429661,2025-11-04,office_mismatch,Pelham City School Board - District 2,City Legislature
e8ee2b6e-5733-4949-89bd-26df44734d18,429661,2025-11-04,office_mismatch,Pelham City School Board - District 1,City Legislature
