guid,disposition_label,source,notes,outcome_family
2948382b-59a6-49cd-a57e-e959c5a143cb,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
10bb5085-116e-4e1d-9cb2-540c0304ef71,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
feadaed0-8666-4e20-abe8-161a09d24a94,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
73159d4a-a09d-41f4-9002-17763f76b3f6,Busy – Pitched Free Tools,inferred_from_title,"derived from ""[Nooks Call] - <label> - <name> - by <rep>"" pattern",connected_other
4d366032-1414-4994-a6d8-1eba74ebfbee,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
31b1f7f9-356a-4690-be46-dc6acec455bc,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
d487bf7d-1c4d-4443-a0eb-902c1264f25a,Already Booked,inferred_from_title,"derived from ""[Nooks Call] - <label> - <name> - by <rep>"" pattern",connected_other
f730efb3-6745-4b60-ac68-9e66b8e4f0fd,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
80f73f2c-cfd0-479b-bb34-4b54eb89369a,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
8be1e953-b2b3-4fc8-88da-392bc722c82d,Busy – Pitched Values Based,inferred_from_title,"derived from ""[Nooks Call] - <label> - <name> - by <rep>"" pattern",connected_other
a5348b6b-1464-4958-9ec9-aa7e3fece0b1,Confirmed Running,inferred_from_title,"derived from ""[Nooks Call] - <label> - <name> - by <rep>"" pattern",connected_other
f5008477-ecab-4fde-9eef-f799465187d6,Step Up - Meeting Booked,inferred_from_title,"derived from ""[Nooks Call] - <label> - <name> - by <rep>"" pattern",connected_other
62be6577-f006-46ba-ab6c-ece08d82cf08,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
3809b0d1-d023-4ca6-abfb-afd2223508b3,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
22be21ee-fb58-4161-968d-c9271f0aa037,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
56125b6e-c95e-4f99-acc7-dba83a97b1fb,,unknown,TODO: fill from HubSpot Settings > Objects > Activities > Calls > Call and meeting outcomes,unmapped
